flnatureza,dsdocumento,nmprimeiro,nmsegundo,dtregistro
1,16161549265,Fernanda,Costa,2017-11-19
1,68384988420,João,Lopes,2005-06-24
1,76783498185,Isabela,Oliveira,2007-03-21
1,05372047717,Otávio,Medeiros,2013-10-02
2,59611717906342,Natália,Silva,2022-03-11
1,18178354350,Eduardo,Moreira,2013-12-08
1,05238006400,Eduardo,Dias,2006-06-01
2,31248313862581,Tiago,Teixeira,2024-12-04
1,51200855032,Luiz,Gomes,2018-10-27
1,27177012507,Tiago,Moreira,2025-03-18
2,66051005497112,Otávio,Medeiros,2006-08-07
2,66900327195472,Bruno,Pereira,2014-07-03
1,74781043833,Patrícia,Dias,2013-04-18
1,63834613002,Daniel,Medeiros,2014-04-08
1,86512737487,Karen,Gomes,2014-08-03
2,85108992033159,Gabriel,Silva,2022-08-13
1,34533833247,Daniel,Costa,2015-03-30
2,63748797871934,Daniel,Medeiros,2019-05-24
1,29712236849,Isabela,Souza,2014-05-22
1,42591470322,João,Teixeira,2025-12-26
2,00698448176906,Helena,Barbosa,2019-04-04
1,06372951821,Carlos,Costa,2010-06-12
2,32178460753681,Eduardo,Medeiros,2020-01-30
1,46029389925,Eduardo,Barbosa,2019-11-10
2,84921148930836,Rafael,Medeiros,2017-02-05
1,55150045063,Helena,Barbosa,2015-08-05
1,21039843003,Ana,Ferreira,2020-10-09
2,08375450106184,Daniel,Costa,2017-02-15
2,49695267272859,Bruno,Lopes,2021-07-20
1,25480523613,Eduardo,Barbosa,2019-08-30
1,00558056837,Marcos,Dias,2024-09-18
1,00439433264,Rafael,Pereira,2017-09-26
2,58959682089784,Isabela,Moreira,2012-05-03
1,49181010528,Eduardo,Gomes,2017-11-08
1,01466371113,Eduardo,Pereira,2013-01-06
1,36478941345,Isabela,Costa,2010-01-22
2,26969759120101,Natália,Souza,2015-05-05
2,68253943379839,Fernanda,Silva,2024-02-20
2,94152288001362,Karen,Silva,2014-05-14
2,82780690558065,Sandra,Barbosa,2010-12-09
1,29225940763,Rafael,Rocha,2010-05-22
1,46154717979,João,Martins,2013-05-05
2,70343166380324,Patrícia,Medeiros,2021-09-17
2,34914270474763,Luiz,Dias,2025-10-14
2,08706448518064,Helena,Dias,2009-02-04
1,38625165699,Patrícia,Ferreira,2006-11-16
2,97786100186271,Tiago,Ribeiro,2020-03-30
1,95917927158,Eduardo,Lopes,2008-05-19
2,58538607005375,Carlos,Moreira,2009-08-16
1,69578499997,Patrícia,Silva,2015-06-04
1,21004153861,Carlos,Pereira,2008-04-25
1,12437971058,Otávio,Oliveira,2014-08-13
1,22095144833,Vanessa,Teixeira,2011-05-02
1,83933683131,Isabela,Moreira,2021-08-14
1,73080645373,Vanessa,Almeida,2009-12-09
2,43481569092125,Daniel,Dias,2012-04-23
1,73705872730,Vanessa,Lopes,2012-05-21
1,12282363169,Karen,Moraes,2016-02-08
2,25132183989018,Luiz,Martins,2013-01-05
2,67808828839221,Natália,Silva,2017-03-28
1,57081968119,Eduardo,Azevedo,2015-05-11
2,65344585090874,Otávio,Rocha,2019-05-08
2,76604987592138,Patrícia,Oliveira,2005-12-10
1,83071304437,Vanessa,Cardoso,2020-06-13
1,14750810253,Natália,Silva,2023-06-14
2,56577492288418,Eduardo,Martins,2020-07-17
1,05127761245,Tiago,Teixeira,2008-04-30
2,72344991996778,Tiago,Azevedo,2005-03-01
2,18511470483883,Luiz,Ferreira,2015-01-04
2,74158096340310,Isabela,Moreira,2018-09-30
2,77218669682105,Otávio,Souza,2021-03-22
1,15489766842,Rafael,Teixeira,2014-11-19
2,11280976225365,Marcos,Rocha,2008-05-31
1,39206769124,Karen,Lopes,2007-07-26
2,20351587262156,Carlos,Moraes,2015-11-03
2,01630190310977,Gabriel,Souza,2025-09-30
1,30366695638,Carlos,Silva,2011-04-09
1,62507578231,Isabela,Lopes,2013-08-13
2,56550281175000,Isabela,Oliveira,2010-11-06
1,96903293896,Sandra,Ribeiro,2016-12-09
1,69767843866,Natália,Oliveira,2011-07-25
1,79555058408,Bruno,Silva,2009-09-09
1,04714606046,Isabela,Moreira,2011-06-03
2,99866583623510,Carlos,Pereira,2006-06-07
1,62950028318,Bruno,Cardoso,2009-11-14
2,09509927793596,Patrícia,Teixeira,2023-02-10
1,85895438485,Ana,Azevedo,2016-12-21
2,91370623989559,Vanessa,Almeida,2007-12-08
1,72711687024,Helena,Medeiros,2017-01-14
1,06711790463,Ana,Moraes,2023-08-19
1,11652619161,Eduardo,Azevedo,2012-03-09
2,27378841357042,Isabela,Gomes,2008-01-09
2,27863875084727,Ana,Dias,2021-10-14
1,89044922695,Luiz,Moreira,2011-08-03
1,36117796243,Daniel,Souza,2019-12-29
2,95181412690421,Isabela,Teixeira,2025-05-01
2,43483475084440,Natália,Pereira,2023-11-25
2,86198802523355,Rafael,Souza,2021-04-24
1,14686180847,Tiago,Moraes,2023-11-17
1,09028652513,Helena,Almeida,2019-08-20
2,12290992547572,Rafael,Souza,2014-05-12
1,91726145659,Natália,Silva,2005-02-13
1,43020668057,Marcos,Gomes,2018-10-06
2,41823640675798,Karen,Lopes,2022-03-15
1,30943651127,Tiago,Ribeiro,2011-04-18
1,60077973084,Natália,Ribeiro,2005-07-22
1,64953500343,Vanessa,Pereira,2014-08-13
2,42122987171418,Karen,Moreira,2019-06-20
2,25551041783681,Sandra,Gomes,2021-11-10
1,22197859054,Tiago,Pereira,2010-05-30
2,18201485685030,Karen,Souza,2018-07-18
2,17781802327827,Helena,Moraes,2019-05-08
1,12645672216,Marcos,Ferreira,2013-12-13
1,88679833252,Sandra,Barbosa,2017-10-21
1,97441098065,Otávio,Cardoso,2019-10-19
2,39317385245233,Isabela,Dias,2005-02-26
1,11126271818,Gabriel,Moraes,2020-08-02
2,56041975067831,Carlos,Costa,2009-07-23
2,54653296830177,Carlos,Ribeiro,2024-05-29
2,71215781509557,Patrícia,Souza,2008-03-10
2,15946857746282,Natália,Lopes,2009-04-14
2,01153801293657,Helena,Moreira,2017-06-01
1,54667090536,Marcos,Almeida,2012-05-16
2,22962527369710,Daniel,Cardoso,2012-12-17
2,14856691270136,Helena,Barbosa,2005-09-23
1,78297631150,Karen,Oliveira,2015-08-12
2,98914643028285,Helena,Dias,2010-12-13
1,20774455675,João,Cardoso,2020-05-30
2,57340122525860,Tiago,Pereira,2024-09-12
1,95735733835,Vanessa,Dias,2015-09-12
2,51633288512014,Carlos,Lopes,2012-11-01
2,13478364271437,Daniel,Cardoso,2018-06-14
1,18537940981,Ana,Costa,2016-05-10
2,08597506994109,Isabela,Almeida,2015-01-09
1,98451453924,Gabriel,Medeiros,2020-02-19
2,70784860287962,Rafael,Pereira,2008-03-22
2,32585903510426,Otávio,Rocha,2025-12-30
2,27936741342950,Isabela,Costa,2006-02-09
1,12850361172,Patrícia,Dias,2013-01-30
2,54100160492944,Marcos,Moreira,2022-05-22
1,04013417496,Rafael,Azevedo,2008-01-20
1,81647977205,Otávio,Lopes,2024-10-28
1,89470920505,Natália,Souza,2005-06-18
1,86820966493,Fernanda,Teixeira,2014-11-24
2,86049121853391,Marcos,Teixeira,2025-03-31
2,87414662236727,Gabriel,Souza,2005-04-06
1,45414512322,Carlos,Lopes,2018-06-27
1,17921085684,Helena,Moreira,2018-11-11
2,40169977859859,Marcos,Ribeiro,2022-09-17
2,07444227138776,Ana,Moreira,2021-07-24
2,81766510450031,Gabriel,Barbosa,2023-06-27
1,84325853801,Fernanda,Moraes,2013-03-12
2,96127923448063,Patrícia,Dias,2022-12-17
2,50705300733608,Bruno,Moreira,2010-03-18
1,98805637718,Vanessa,Moreira,2014-10-25
1,98158231095,Ana,Almeida,2010-06-30
2,93552591420683,Marcos,Pereira,2025-11-25
1,02510604428,Luiz,Moraes,2022-12-26
2,42707249772414,Sandra,Cardoso,2007-12-05
2,05267624205966,Gabriel,Ferreira,2009-06-09
2,91727871848988,Bruno,Silva,2018-01-26
2,91955795382282,Gabriel,Azevedo,2023-08-20
1,78056696536,Bruno,Rocha,2011-10-19
2,73264386098297,Bruno,Lopes,2018-06-25
1,38479044477,Luiz,Moreira,2022-12-19
1,34109788868,João,Moraes,2024-09-01
2,18442949292568,Marcos,Teixeira,2007-09-02
1,51473669966,Ana,Moraes,2005-01-23
1,25497009475,João,Moreira,2010-01-27
2,16677193510481,Isabela,Dias,2018-09-10
1,82855650573,Daniel,Dias,2016-12-27
2,80496146144779,Carlos,Souza,2007-10-02
2,25906874447021,Carlos,Almeida,2007-07-27
2,41307972165448,Carlos,Rocha,2025-06-10
2,16645042520343,Ana,Ribeiro,2023-02-07
1,74321275320,Isabela,Medeiros,2009-01-06
1,77998538303,Fernanda,Rocha,2007-08-16
2,43820713459385,Ana,Costa,2019-02-27
1,13541610876,Otávio,Souza,2007-11-01
1,91785282182,Sandra,Moreira,2008-10-20
2,09693187302906,Natália,Martins,2005-07-07
2,15065102437331,Helena,Silva,2022-11-08
2,47122829795226,Eduardo,Gomes,2012-08-06
2,09461311136739,Sandra,Barbosa,2005-09-24
1,87106717094,Bruno,Silva,2010-09-27
2,65377776964350,Isabela,Moraes,2025-01-25
2,58264562722491,Otávio,Lopes,2022-09-16
1,47555093170,Gabriel,Rocha,2019-05-30
2,29270212650007,Karen,Barbosa,2022-12-23
1,46425361990,Rafael,Moreira,2017-04-30
2,37214752547388,Vanessa,Ribeiro,2010-04-18
2,45751770658735,João,Dias,2005-04-20
1,28262525440,Bruno,Martins,2009-03-16
1,71122831157,Sandra,Gomes,2023-07-03
1,51386468537,Marcos,Medeiros,2016-07-22
2,76440468657882,Karen,Silva,2013-09-02
1,24484421660,Natália,Martins,2017-01-04
2,72854003942664,Karen,Medeiros,2016-06-30
2,58251785096449,Vanessa,Medeiros,2010-09-05
2,43920591775964,Sandra,Pereira,2024-10-26
1,97518550339,Daniel,Cardoso,2018-04-04
2,81474302294968,Karen,Ferreira,2010-04-12
1,52441749822,João,Dias,2014-05-23
1,82556977653,Karen,Souza,2005-09-23
2,55807928913371,Carlos,Ferreira,2009-10-08
1,03460954678,Marcos,Souza,2016-03-17
2,02043783754793,Marcos,Ribeiro,2014-03-17
1,63450756390,Fernanda,Lopes,2007-05-12
1,97230823653,Marcos,Teixeira,2024-05-16
2,84213042554560,Ana,Silva,2019-08-21
2,01124746408910,Karen,Rocha,2013-06-25
1,95137540531,Isabela,Martins,2019-03-29
1,16691954552,Otávio,Costa,2021-07-27
2,71495876492720,Luiz,Azevedo,2022-05-18
2,67451955330029,Ana,Azevedo,2006-06-07
1,65862368050,Karen,Dias,2019-09-17
1,46157315092,Luiz,Medeiros,2017-03-06
1,31441220417,Helena,Martins,2017-01-13
1,49480196703,Daniel,Oliveira,2023-11-09
1,18490453391,Carlos,Ribeiro,2016-12-01
2,59632221158085,Rafael,Martins,2024-05-31
1,79137871742,Marcos,Oliveira,2020-08-28
1,00735342306,Sandra,Souza,2006-06-25
1,55128108781,Luiz,Teixeira,2024-07-23
2,92054672100946,Patrícia,Martins,2023-05-25
2,34658350769146,Vanessa,Dias,2013-09-22
1,47131120914,Patrícia,Almeida,2015-05-23
1,28638475364,Rafael,Souza,2009-07-11
2,45264033029173,Sandra,Medeiros,2018-11-02
1,39342137993,Tiago,Dias,2012-01-29
1,01980454239,Vanessa,Lopes,2012-05-11
2,28036456353865,Fernanda,Moraes,2022-03-06
1,50818384525,João,Barbosa,2023-11-09
1,91966909813,Fernanda,Teixeira,2017-07-25
2,54093725363648,Otávio,Pereira,2025-01-07
1,07504892611,Patrícia,Oliveira,2014-12-20
1,54934069132,Ana,Moraes,2018-11-13
1,62481830855,Sandra,Costa,2011-09-20
1,75424363932,Helena,Rocha,2015-07-18
1,73260534441,Bruno,Gomes,2013-02-19
2,81160221356448,Ana,Medeiros,2023-05-15
1,51556803180,Natália,Teixeira,2006-06-24
2,83053205492622,Bruno,Moraes,2021-08-22
2,37402444415909,Ana,Cardoso,2005-07-02
2,65205035174213,Isabela,Silva,2025-06-27
2,63004641121944,Gabriel,Gomes,2014-04-17
2,70780499393804,Patrícia,Ferreira,2017-02-14
1,81902134975,Marcos,Ribeiro,2008-12-13
2,45153043109781,Vanessa,Azevedo,2010-02-17
2,52403454615903,Gabriel,Barbosa,2014-04-24
1,32266657214,Carlos,Ribeiro,2018-10-06
1,78116763688,Sandra,Gomes,2016-05-31
1,28450685828,Isabela,Barbosa,2005-12-19
1,57468831019,Fernanda,Azevedo,2008-05-12
1,03754552102,Fernanda,Medeiros,2021-02-13
2,96944331185082,Natália,Ferreira,2012-07-11
2,43278196135960,Rafael,Moreira,2023-08-04
1,51768155884,Patrícia,Cardoso,2017-05-08
1,01143770391,João,Moreira,2025-01-12
2,75312816623661,Rafael,Teixeira,2023-03-06
1,60620886712,Marcos,Cardoso,2015-08-28
2,35914107065157,Tiago,Pereira,2014-08-21
1,20221701166,Otávio,Cardoso,2021-07-24
2,91079107819458,Daniel,Pereira,2023-05-18
1,72569868434,Rafael,Ferreira,2014-06-01
1,89971880554,Ana,Ferreira,2008-01-07
2,53948584529646,Natália,Pereira,2016-05-01
2,83252059515869,João,Medeiros,2010-09-29
1,21001878378,Luiz,Oliveira,2018-09-11
2,10383171476727,Otávio,Azevedo,2013-02-25
1,10425819250,Patrícia,Moreira,2020-03-21
1,70709440792,Patrícia,Moraes,2022-02-08
2,85128709403412,Fernanda,Ribeiro,2005-04-21
1,03705964169,Rafael,Moraes,2016-04-22
2,85000982997497,Karen,Souza,2009-03-13
1,83497306645,Bruno,Ferreira,2013-03-06
1,76071958743,Luiz,Lopes,2012-12-02
1,25895643519,Helena,Oliveira,2010-12-12
2,94240891995244,Vanessa,Gomes,2022-05-10
2,27654999908075,Helena,Dias,2008-01-31
2,84625265570601,João,Moraes,2014-01-03
1,96590585349,Rafael,Moreira,2015-01-13
2,08774017354614,Sandra,Dias,2010-06-08
2,12010743448271,Eduardo,Medeiros,2009-04-01
2,60308387345705,Ana,Almeida,2022-11-19
2,56088953550550,Sandra,Moraes,2025-07-03
2,95997592121367,Tiago,Rocha,2005-05-11
1,04134979229,Natália,Costa,2020-05-22
1,51975772102,Luiz,Dias,2019-06-02
1,86790981955,Bruno,Pereira,2025-03-17
2,29462736308199,Vanessa,Barbosa,2021-09-29
2,08831377272146,Vanessa,Barbosa,2022-06-06
2,71624120291844,Gabriel,Gomes,2024-05-15
1,09388607668,Bruno,Barbosa,2015-05-12
2,86315170655581,Eduardo,Medeiros,2006-08-23
2,93620687067270,Gabriel,Rocha,2007-11-26
1,55836176294,Tiago,Pereira,2008-08-29
2,07856503093005,Sandra,Medeiros,2013-10-10
1,07187689726,Eduardo,Moreira,2011-12-15
1,14813458979,Eduardo,Almeida,2012-11-21
2,44826553937182,Gabriel,Oliveira,2007-10-29
1,47810857924,Vanessa,Medeiros,2005-05-28
1,06733355803,Daniel,Costa,2014-03-06
2,48400286020195,Gabriel,Azevedo,2021-06-12
1,31865046982,Eduardo,Oliveira,2014-03-25
2,36341237375697,Otávio,Costa,2011-02-20
2,69705060006817,Luiz,Barbosa,2006-11-17
2,89411365052888,Eduardo,Azevedo,2012-04-03
1,96813819739,Isabela,Pereira,2005-03-10
1,06790245937,Carlos,Moraes,2007-07-15
1,50953633628,Gabriel,Oliveira,2014-12-26
1,91744369321,Tiago,Costa,2018-12-06
1,43206046346,Daniel,Almeida,2021-03-28
2,24257719446843,João,Pereira,2024-09-03
1,93016684248,Karen,Martins,2014-12-01
2,51055352572551,Karen,Gomes,2018-03-04
2,88173672668923,Marcos,Moraes,2012-09-19
1,18984047047,Vanessa,Silva,2006-04-25
1,37470100865,Rafael,Ferreira,2007-12-20
1,61019573127,Karen,Moraes,2024-05-28
1,45694897742,Sandra,Moraes,2014-05-26
2,84508453715747,Luiz,Silva,2019-03-11
1,50489239398,Tiago,Dias,2014-03-30
2,59168826512708,Tiago,Cardoso,2012-03-08
1,59045772484,Gabriel,Lopes,2010-03-26
1,54023110764,Patrícia,Almeida,2025-06-29
1,83129886969,Vanessa,Martins,2017-06-03
2,67375277659406,Natália,Almeida,2019-08-12
1,87833850387,Patrícia,Moraes,2006-07-01
2,80858691618072,Tiago,Martins,2013-11-09
1,55368771008,Vanessa,Moreira,2005-03-06
1,04199029924,Fernanda,Almeida,2017-12-21
2,60609003259062,Vanessa,Rocha,2023-11-03
1,10454216664,Vanessa,Ribeiro,2017-12-22
1,34657370290,Rafael,Medeiros,2023-08-05
1,18442365154,Sandra,Ferreira,2021-03-16
1,07709467145,Vanessa,Moreira,2013-11-11
1,22283126680,Eduardo,Moreira,2012-07-05
1,99459491261,Helena,Cardoso,2022-09-02
1,41865791203,Vanessa,Moreira,2006-09-19
2,02758811412946,Natália,Martins,2020-10-06
1,16314610425,Gabriel,Teixeira,2009-02-17
2,34189408057119,Natália,Dias,2021-03-19
1,51533291676,Bruno,Pereira,2020-02-17
2,82333622312599,Fernanda,Oliveira,2007-05-30
1,35820366023,Isabela,Moraes,2018-11-22
1,32520537142,Helena,Barbosa,2010-03-13
1,52185838477,Helena,Martins,2019-05-25
2,25022524058664,Sandra,Silva,2012-05-28
1,50126926400,Patrícia,Moreira,2008-11-20
1,21051422088,Luiz,Costa,2021-01-30
2,23812889267469,Patrícia,Souza,2008-09-28
1,08840949522,Carlos,Lopes,2021-02-28
2,93506269723417,Carlos,Gomes,2015-12-19
1,00335269906,Daniel,Martins,2020-07-02
1,29256210935,Rafael,Barbosa,2024-09-15
1,26477560341,Natália,Gomes,2020-07-17
2,93390728015810,Rafael,Ferreira,2013-01-16
1,84234552745,Rafael,Dias,2021-12-31
1,83859215692,Vanessa,Costa,2021-09-07
2,34305473320641,João,Teixeira,2014-03-25
2,85414435660978,Vanessa,Medeiros,2008-11-05
2,09302251609411,Gabriel,Oliveira,2015-10-24
1,70433713219,Patrícia,Gomes,2024-06-23
1,70687999476,Gabriel,Ferreira,2017-09-01
2,09903832764364,Eduardo,Azevedo,2007-11-19
1,10443381301,Rafael,Ribeiro,2009-11-18
1,95212155957,Vanessa,Barbosa,2006-09-26
2,29264822406744,Rafael,Costa,2011-09-20
2,80361200872720,Isabela,Silva,2021-04-17
2,45407874233188,Rafael,Oliveira,2006-11-22
2,42975835987996,Karen,Teixeira,2013-12-11
2,39307424436282,Carlos,Azevedo,2015-11-14
1,22847188797,Helena,Lopes,2010-01-21
2,77152239832376,João,Moraes,2022-09-06
1,61680952612,Ana,Gomes,2020-04-30
2,97061934255135,Sandra,Medeiros,2005-08-08
1,59422953518,Helena,Almeida,2017-12-03
2,40161210321735,Carlos,Ferreira,2022-01-02
1,05449248873,Bruno,Moraes,2006-11-25
2,69770912402880,Eduardo,Pereira,2005-11-28
2,88689134123026,Helena,Moreira,2014-05-27
1,23365914342,Luiz,Oliveira,2019-06-02
2,20039349546046,Isabela,Gomes,2025-03-13
1,14271167048,Marcos,Lopes,2005-03-16
2,30693639111301,Karen,Rocha,2011-06-01
1,21034107392,Bruno,Costa,2024-05-29
1,17584014426,Luiz,Silva,2020-01-13
1,40143398933,Marcos,Almeida,2020-10-31
2,15971052571392,Daniel,Moraes,2006-12-26
2,83672855824525,Luiz,Moraes,2024-09-14
1,84362343948,Patrícia,Barbosa,2023-03-31
1,83347385138,Luiz,Moraes,2006-09-22
2,43915169006663,Daniel,Teixeira,2009-10-04
1,86280404965,Tiago,Ribeiro,2023-09-13
1,11389563748,Tiago,Lopes,2024-05-03
2,13570307305970,Tiago,Dias,2015-03-27
1,17177681031,Otávio,Azevedo,2014-08-17
2,38035891276822,Karen,Rocha,2023-07-09
2,85552700858867,Gabriel,Almeida,2021-12-29
2,44096028457030,Rafael,Silva,2013-07-11
1,91772826268,Tiago,Ferreira,2018-11-28
2,63124804530257,Tiago,Azevedo,2015-01-27
2,27150811976477,Isabela,Medeiros,2005-10-22
1,41865678980,João,Silva,2016-03-20
1,45278680893,Luiz,Costa,2013-11-14
1,96349145309,Ana,Almeida,2022-07-11
2,75124354384554,Carlos,Barbosa,2014-09-20
2,01760065294483,Gabriel,Azevedo,2018-09-06
2,40609728172175,Sandra,Oliveira,2024-03-10
2,87438138544399,Daniel,Martins,2017-01-24
2,01006507069044,Gabriel,Gomes,2014-08-21
2,50000312781371,Tiago,Moreira,2022-04-29
1,32253725096,Karen,Souza,2012-01-03
1,33199174155,Helena,Moreira,2021-08-13
1,89262831140,Carlos,Moraes,2019-08-25
1,63693868044,Otávio,Barbosa,2025-05-05
2,71286415486979,Carlos,Lopes,2018-06-03
1,88234989147,Helena,Silva,2011-07-01
1,22133578209,Tiago,Ribeiro,2020-11-28
2,25899431402522,Sandra,Lopes,2018-12-24
2,74226341206142,Marcos,Lopes,2011-07-09
2,98075850705021,Sandra,Martins,2013-07-19
2,92970352832977,Marcos,Costa,2005-09-18
1,38989205840,Luiz,Teixeira,2019-08-01
2,11122269699114,Tiago,Dias,2008-05-16
2,37219828460738,Otávio,Almeida,2018-10-31
1,92201892344,Isabela,Lopes,2009-11-19
1,91662205588,Marcos,Lopes,2024-11-07
1,30216169413,João,Rocha,2009-05-16
1,19696869673,Otávio,Souza,2015-03-10
2,45431801791450,Gabriel,Teixeira,2019-09-19
1,18979413899,Patrícia,Ribeiro,2008-06-08
2,75726600001707,Vanessa,Martins,2019-04-27
1,75581066447,Helena,Rocha,2013-11-27
1,68015618806,João,Barbosa,2019-06-01
1,19560846793,Luiz,Ribeiro,2019-04-06
1,89292147454,Natália,Silva,2023-12-04
2,66862620494979,Marcos,Oliveira,2025-08-21
2,76999156780670,Sandra,Rocha,2018-06-22
1,36548722499,Eduardo,Martins,2019-04-17
1,89645841730,Bruno,Martins,2006-05-14
2,62625178817775,Fernanda,Martins,2007-02-15
2,58800460130396,Rafael,Rocha,2016-07-05
1,88990167396,Ana,Costa,2021-11-05
2,43768605323582,Daniel,Costa,2015-04-02
2,91864019938459,Ana,Azevedo,2015-09-15
1,20591761441,Carlos,Pereira,2018-09-04
2,11914414809180,Natália,Gomes,2015-12-03
2,32447297990053,Fernanda,Silva,2005-03-27
1,81146671891,Ana,Barbosa,2012-01-31
1,63005476874,Carlos,Moreira,2021-07-01
1,92179721041,Bruno,Ferreira,2011-08-05
2,76214937866385,Bruno,Teixeira,2025-01-10
1,15675468995,Bruno,Teixeira,2011-03-26
2,40403266950116,Fernanda,Martins,2024-07-23
2,09036342629249,Carlos,Souza,2006-08-26
2,27399713763483,Gabriel,Moreira,2016-06-19
2,47226160004754,Rafael,Pereira,2006-05-21
1,13323784496,Vanessa,Costa,2022-06-11
1,14098084070,Rafael,Moreira,2008-12-24
1,50966230051,Daniel,Moraes,2023-10-06
1,92252170013,Fernanda,Lopes,2007-05-12
2,45625612290896,Tiago,Medeiros,2009-02-20
2,78115686741613,Luiz,Dias,2016-04-01
1,75175371748,Isabela,Rocha,2011-06-06
1,45850093751,Daniel,Oliveira,2011-08-07
2,40218016383124,Patrícia,Gomes,2023-10-11
1,39618008445,Natália,Moraes,2021-07-02
2,01412984098849,Marcos,Medeiros,2006-11-25
1,06621195899,Karen,Gomes,2016-09-17
2,77607810187297,Marcos,Azevedo,2022-08-30
2,47675608871649,Carlos,Dias,2025-11-08
1,48403596606,Ana,Souza,2024-03-25
2,64326422325399,Natália,Oliveira,2009-12-04
2,33660744294470,Helena,Pereira,2014-09-14
1,50075032402,Fernanda,Moraes,2006-07-23
2,69982712525131,Isabela,Azevedo,2019-08-10
1,36419149521,João,Ribeiro,2009-02-04
2,29111950377294,Vanessa,Azevedo,2022-03-22
1,00840942809,Marcos,Moreira,2009-02-10
2,16613425368532,Sandra,Cardoso,2005-03-12
2,76921523565888,Carlos,Souza,2006-12-06
1,90604692062,Eduardo,Souza,2014-07-16
1,72172937019,Patrícia,Gomes,2025-11-29
1,20133049018,Isabela,Martins,2018-10-05
2,60172440890000,Vanessa,Costa,2025-02-12
1,74095376919,Helena,Almeida,2021-07-13
1,85411407990,Gabriel,Almeida,2014-11-27
2,03688393637949,Carlos,Moreira,2019-07-13
1,89277068735,Daniel,Rocha,2022-12-17
2,49654194586394,Patrícia,Teixeira,2009-01-05
1,58262130182,Patrícia,Moreira,2014-12-23
2,25829988902679,Ana,Rocha,2007-11-23
1,79399311153,João,Silva,2012-11-28
1,24945966031,Bruno,Cardoso,2006-02-05
2,04282437406722,João,Cardoso,2020-01-22
1,53556441366,Eduardo,Almeida,2019-06-28
2,49303367350092,Bruno,Oliveira,2023-01-28
2,56413313262941,Fernanda,Medeiros,2018-07-07
2,17342674954607,Ana,Barbosa,2008-08-31
1,30641052584,Natália,Medeiros,2008-05-20
2,24651037636447,Bruno,Ribeiro,2017-06-15
1,98225215109,Karen,Gomes,2009-10-26
2,58499241112620,Natália,Pereira,2008-11-30
2,76640316103016,Fernanda,Lopes,2013-01-10
2,28397032763499,Vanessa,Ferreira,2005-01-22
1,88694099641,Luiz,Azevedo,2017-01-05
1,58131494129,Luiz,Teixeira,2008-11-07
2,38108825075181,Natália,Dias,2016-08-30
2,09562229363845,Patrícia,Teixeira,2017-07-01
1,05321774513,Ana,Lopes,2010-07-29
1,66298733430,Ana,Costa,2006-09-11
2,12382607679787,Otávio,Ferreira,2014-05-26
2,61317346478029,Ana,Moraes,2022-03-08
1,79237753624,Helena,Ribeiro,2015-04-21
2,18707022210865,Bruno,Medeiros,2022-09-17
1,14058572901,Karen,Souza,2011-02-26
1,81129496225,Ana,Almeida,2025-07-15
1,55489500236,João,Moraes,2015-01-04
2,22182983710150,Rafael,Pereira,2020-12-30
1,96369391137,Karen,Ribeiro,2021-05-12
2,49026697467345,Isabela,Barbosa,2012-01-10
2,02066550056534,Ana,Rocha,2005-10-19
2,20986968902869,Daniel,Pereira,2006-12-12
2,37513307932209,Tiago,Martins,2018-09-21
2,83564188848750,Tiago,Moraes,2011-10-14
2,86970750409699,Gabriel,Almeida,2017-10-02
1,76198593494,Eduardo,Rocha,2005-11-04
2,49389241174339,Otávio,Teixeira,2012-01-14
1,11806677794,Fernanda,Oliveira,2013-06-11
2,38298346464048,Helena,Silva,2006-11-17
2,37425467318383,Vanessa,Silva,2014-02-15
1,56358162240,Natália,Barbosa,2019-10-08
2,39505535305090,Sandra,Martins,2009-04-30
1,62789706613,João,Rocha,2011-10-29
1,06928860016,Natália,Lopes,2006-01-13
1,85386666746,Ana,Dias,2013-10-22
1,91020712237,Isabela,Medeiros,2012-01-13
1,22219399236,Vanessa,Oliveira,2006-05-27
1,82780252048,João,Ribeiro,2009-05-31
2,40587281490114,Vanessa,Ferreira,2008-10-15
1,94364458616,Helena,Pereira,2012-04-30
2,91632146167018,Natália,Silva,2008-04-14
1,85607781830,Otávio,Lopes,2019-10-30
2,02226849493395,Carlos,Martins,2007-07-29
1,25146096860,Isabela,Oliveira,2012-05-20
2,86493476374550,Marcos,Rocha,2022-03-16
1,59928989154,Helena,Ribeiro,2011-12-03
1,24357201199,Daniel,Dias,2011-12-27
1,01914944266,Luiz,Dias,2006-10-02
1,12667039653,Helena,Barbosa,2007-01-13
2,42659827758347,Patrícia,Barbosa,2018-05-01
2,41436676927316,Isabela,Cardoso,2005-04-03
1,77487268029,Bruno,Barbosa,2018-03-26
2,29540567574042,Luiz,Azevedo,2021-07-02
2,51163456103216,Natália,Almeida,2020-10-27
2,69991357045842,Otávio,Martins,2005-11-12
2,76904371919158,Gabriel,Teixeira,2025-03-17
2,59549895897543,Rafael,Lopes,2017-08-22
2,35498788295134,Isabela,Silva,2009-05-23
1,80460995104,Tiago,Lopes,2017-06-08
2,66785430319793,Rafael,Pereira,2023-06-15
1,46809938750,Tiago,Almeida,2006-03-29
1,76883399649,Fernanda,Ferreira,2012-03-02
2,11742778823150,Karen,Medeiros,2019-01-12
2,91740194559991,Patrícia,Ribeiro,2012-04-20
1,75720109992,Otávio,Gomes,2015-12-26
